Name,Gender,SSN,Member Date,Phone,State,Zip,Email,Credit Card,Credit Card_Number,Credit Card Exp,Gender,Favorite Radio Station,Purchases Past 30 Days,Spent Past 30 Days,Purchases Past 6 Months,Spent Past 6 Months,Purchases Past 12 Months,Spent Past 12 Months
Phillip Coleman,male,922-45-6614,16/10/2010,(616) 817-9129,Oregon,91682-2303,p.colemanoleman@abaho.info,Discover Card,6011xxxxxxxx7489,06/18,male,KYJA,4,$1890.2799999999997,6,$5702.589999999999,14,$11681.69
Mister Jeremy Carpenter,male,952-12-2803,Sun Aug 02 2009 17:19:42 GMT-0400 (Eastern Daylight Time),9253791225,OR,72760-0804,j.Carpenter@ate.ca,Visa,4457xxxxxxxx1365,12/22,male,KPUN,0,$0,1,$566.16,4,$2799.5600000000004
Julian Lowe,male,266-57-1633,2/2/2007,(226) 304-1585,O.H.,90466-2593,j.loweowe@gap.gov,American Express,3498xxxxxxx5408,09/23,male,WECB,2,$1337.48,4,$3652.1,5,$6304.57
Miss Ola Lawrence,female,774-57-4851,Thu Aug 21 2014 06:05:25 GMT-0400 (Eastern Daylight Time),(559) 959-8672,West Virginia,96573,o.lawrenceawrence@ca.co,Visa,4798xxxxxxxx7067,05/18,female,WUIN,3,$1226.04,4,$3084.18,8,$8190.349999999999
Dr. Gerald Gonzalez,male,561-99-7275,14/1/2012,(839) 514-9892,MA,04354-5835,g.gonzalezonzalez@tu.nz,Visa,4328xxxxxxxx9375,10/23,male,WZCS,1,$889.35,6,$4249.04,12,$11380.37
Doctor Emily Craig,female,298-92-9938,31/10/2010,9782961819,New York,33264-8923,e.craigraig@igepaboz.edu,Visa,4665xxxxxxxx9700,03/22,female,WTEK,1,$454.77,2,$1531.61,3,$3639.8799999999997
Mr. Robert Holmes,male,682-96-0157,Sat Feb 11 2012 02:03:22 GMT-0500 (Eastern Standard Time),(701) 724-8139,N.V.,52180-8041,r.Holmes@oduuno.au,Diners Club United States & Canada,5404xxxxxxxx4825,06/24,male,KAYV,5,$946.56,9,$6352.21,13,$12129.010000000002
Mister Marcus Robinson,male,516-96-7521,29/10/2008,(521) 992-4499,Florida,42636,m.Robinson@mi.nz,Diners Club United States & Canada,5436xxxxxxxx6244,09/19,male,WMLK,3,$1408.52,7,$5013.26,15,$11345.52
Augusta Barker,female,272-63-2076,Sun Dec 26 2004 06:59:22 GMT-0500 (Eastern Standard Time),(505) 992-5807,California,94735,a.Barker@rej.gov,Diners Club United States & Canada,5425xxxxxxxx0834,04/19,female,KHJF,0,$0,1,$995.9,9,$5951.0599999999995
Sophie Gomez,female,179-98-7293,12/10/2012,3353001053,I.D.,08002-2216,s.gomezomez@ed.co,Discover Card,6011xxxxxxxx6028,04/18,female,KDJH,4,$968.39,5,$3649.2200000000003,15,$13100.640000000001
Marcus Figueroa,male,655-95-3748,Tue Oct 25 2005 17:59:31 GMT-0400 (Eastern Daylight Time),(304) 350-5417,IN,42653-2269,m.figueroaigueroa@bedgi.org,Diners Club United States & Canada,5497xxxxxxxx4017,10/18,male,WVBC,1,$823.23,6,$2649.17,14,$9707.41
Curtis Davidson,male,122-65-5780,Sat May 16 2009 04:31:13 GMT-0400 (Eastern Daylight Time),(440) 979-1605,N.V.,82256-5294,c.davidsonavidson@burpoj.com,American Express,3492xxxxxxx7935,09/22,male,KVAH,2,$942.31,6,$4136.08,11,$11078.859999999999
Dr. Viola Evans,female,797-42-9060,Tue Jun 20 2017 23:12:57 GMT-0400 (Eastern Daylight Time),8813136774,North Carolina,47824,v.Evans@setujte.edu,Diners Club United States & Canada,5408xxxxxxxx1989,12/23,female,WXJZ,2,$1768.6,5,$4756.44,15,$9335.52
Clara Pearson,female,158-09-3490,Sat Aug 07 2010 12:12:42 GMT-0400 (Eastern Daylight Time),(600) 504-4903,F.L.,55850-8964,c.pearsonearson@wagta.org,Diners Club United States & Canada,5422xxxxxxxx8234,10/27,female,WPTI,4,$2811.6,7,$5312.0599999999995,12,$11288.799999999997
Doctor Warren Jennings,male,197-69-2720,Wed Jun 06 2007 19:51:55 GMT-0400 (Eastern Daylight Time),(515) 493-8518,MT,90898-1615,w.jenningsennings@geg.edu,Diners Club United States & Canada,5409xxxxxxxx2947,03/23,male,KRMX,4,$2301.05,6,$5582.710000000001,12,$11533.860000000002
Mister Noah Moran,male,177-32-8346,10/7/2010,(644) 796-6207,Utah,06165-5348,n.Moran@hu.ca,Mastercard,5124xxxxxxxx5893,06/24,male,KHPR,2,$1430.1,4,$3680.87,11,$9419.779999999999
Dr. Florence Bass,female,517-73-7336,18/2/2009,6879208362,MI,49551,f.Bass@kazeki.org,Visa,4220xxxxxxxx7220,01/18,female,WTZF,3,$1874.33,8,$4685.860000000001,17,$9847.580000000002
Timothy Santiago,male,047-50-4327,16/5/2013,(554) 780-7047,OH,94126-3577,t.Santiago@fusfe.com,American Express,3400xxxxxxx4220,10/26,male,WDCX,0,$0,5,$2304.24,8,$6643.379999999999
Olive Flores,female,069-33-2831,Tue Jun 12 2007 06:39:44 GMT-0400 (Eastern Daylight Time),5489629266,Arizona,20177,o.floreslores@subawo.info,Mastercard,5193xxxxxxxx9651,10/22,female,KUOB,1,$353.44,5,$3940.71,11,$9932.49
Francis Riley,male,636-90-4645,7/25/2012,7089209877,Missouri,18680-2616,f.rileyiley@fazwecofi.info,Visa,4459xxxxxxxx1908,09/18,male,KSFY,2,$995.99,4,$3395.05,9,$8067.9800000000005
Mr. Louis Burton,male,379-29-1722,Sat Mar 15 2008 16:15:45 GMT-0400 (Eastern Daylight Time),3688765363,New York,37482,l.Burton@rec.gov,Discover Card,6011xxxxxxxx5048,12/24,male,WVQS,3,$1716.81,6,$3737.1300000000006,16,$12232.500000000004
Mr. Christopher Ruiz,male,469-33-2301,8/19/2011,(858) 221-1013,North Carolina,18060-8207,c.ruizuiz@logeje.info,Diners Club United States & Canada,5401xxxxxxxx9581,07/17,male,WBAI,5,$2175.2300000000005,7,$5443.82,9,$10716.269999999999
Doctor Callie Ingram,female,975-12-6899,8/27/2014,(530) 336-5766,NY,24874-6266,c.Ingram@vosolo.org,Visa,4763xxxxxxxx2358,07/22,female,WLJN,4,$3119.5000000000005,5,$6023.33,12,$11569.21
Agnes Warren,female,866-69-8697,Tue May 11 2010 21:13:28 GMT-0400 (Eastern Daylight Time),(762) 683-4596,Maine,05292-3570,a.warrenarren@ge.au,Visa,4781xxxxxxxx0613,01/25,female,WQGP,5,$3594.16,6,$6223.78,9,$10268.35
Doctor Eddie Bowman,male,499-54-7009,Sun Nov 07 2010 03:06:20 GMT-0500 (Eastern Standard Time),6475965129,N.H.,51983-7808,e.bowmanowman@zeav.gov,Visa,4589xxxxxxxx9307,11/17,male,WHXY,5,$2810.76,9,$7444.350000000001,10,$12043.710000000005
Doctor Albert Hogan,male,320-57-2677,Sun Nov 09 2014 12:34:02 GMT-0500 (Eastern Standard Time),(840) 634-8237,K.Y.,57766,a.Hogan@penahfe.de,Visa,4765xxxxxxxx3230,04/20,male,WSXT,3,$1895.82,8,$5224.9299999999985,10,$9358.33
Miss Rena McGee,female,239-17-5525,2/8/2013,(678) 503-8458,Illinois,40671-4838,r.mcgeecGee@id.org,Visa,4374xxxxxxxx2138,10/23,female,WBND,1,$808.16,6,$4278.75,15,$12082.49
Mattie Harrison,female,422-77-2037,4/1/2014,4336382112,NC,52813-1469,m.Harrison@lo.edu,Visa,4140xxxxxxxx4760,04/27,female,WFLY,0,$0,5,$1836.7499999999998,15,$9373.609999999999
Manuel Burgess,male,891-46-8837,7/2/2012,(418) 375-5519,NC,98128-8220,m.burgessurgess@kewonrow.nz,Diners Club United States & Canada,5415xxxxxxxx5041,04/17,male,WSHJ,5,$2093.84,9,$7286.16,18,$15865.77
Brian Woods,male,802-26-5706,6/6/2016,(364) 773-2900,Wyoming,67105-2338,b.woodsoods@jebvugbep.org,American Express,3418xxxxxxx2100,11/24,male,KSTP,4,$2199.66,6,$5204.269999999999,9,$9827.309999999998
Earl Torres,male,158-67-2933,Wed Mar 05 2014 02:40:43 GMT-0500 (Eastern Standard Time),(512) 536-3226,New Hampshire,26855-7703,e.torresorres@sil.info,Diners Club United States & Canada,5407xxxxxxxx6820,10/21,male,WNPQ,5,$3485.76,9,$8562.43,13,$15123.830000000002
Mr. Darrell Palmer,male,831-59-2132,Tue Jun 14 2005 20:42:55 GMT-0400 (Eastern Daylight Time),9573599861,NM,81233-0746,d.palmeralmer@wasgajif.co,Diners Club United States & Canada,5452xxxxxxxx3808,10/17,male,KMGM,2,$1565.9099999999999,7,$5480.67,11,$10723.54
John Bridges,male,086-11-2038,Thu Feb 21 2013 19:24:09 GMT-0500 (Eastern Standard Time),(887) 859-7841,Kentucky,55535-5120,j.bridgesridges@gi.org,American Express,3423xxxxxxx4894,01/21,male,WYQP,1,$437.01,6,$2497.81,12,$8832.61
Doctor Dorothy Jenkins,female,907-84-8030,Fri Jul 29 2016 19:56:31 GMT-0400 (Eastern Daylight Time),4067295668,North Carolina,86312,d.jenkinsenkins@surijboh.info,Diners Club United States & Canada,5489xxxxxxxx3168,04/18,female,WYAA,3,$1261.87,6,$3233.38,14,$8990.019999999999
Anthony Mann,male,593-85-3072,3/3/2013,(678) 945-7500,Vermont,83697,a.mannann@adapaw.net,Visa,4644xxxxxxxx8137,05/27,male,WEIF,5,$2982.9000000000005,10,$8394.100000000002,18,$15519.300000000007
Mary Tyler,female,709-68-6418,Tue Jan 11 2011 20:55:52 GMT-0500 (Eastern Standard Time),(978) 731-8296,New Hampshire,51154,m.Tyler@owihe.edu,American Express,3441xxxxxxx8571,10/20,female,WWWS,4,$1190.19,9,$4815.28,14,$14499.34
Doctor Alice Floyd,female,608-28-6355,Wed Nov 28 2012 02:07:20 GMT-0500 (Eastern Standard Time),(887) 920-7692,FL,63327-9748,a.Floyd@rir.net,Mastercard,5135xxxxxxxx1985,06/21,female,WMHK,0,$0,4,$1479.68,6,$4909.74
Mister Jacob Poole,male,231-50-4272,12/2/2009,(867) 253-2621,Oregon,10483,j.pooleoole@sauslu.gov,Discover Card,6011xxxxxxxx2930,09/21,male,KBKN,0,$0,4,$3404.62,5,$5214.030000000001
Jorge Ball,male,859-15-1162,11/28/2005,8216552949,District of Columbia,84663,j.ballall@nelewowo.org,Discover Card,6011xxxxxxxx0100,02/27,male,WYIU,3,$1648.3600000000001,8,$6548.429999999999,15,$12447.859999999999
Dr. Sue Hicks,female,934-18-1034,Sat Aug 08 2015 12:55:58 GMT-0400 (Eastern Daylight Time),(245) 363-9022,Alaska,10900,s.hicksicks@fo.net,Discover Card,6011xxxxxxxx3760,08/22,female,KXWR,5,$2722.5299999999997,7,$6655.289999999999,11,$12397.95
Luella Carlson,female,768-51-2863,Sat Jun 21 2008 12:56:48 GMT-0400 (Eastern Daylight Time),(939) 455-2678,Washington,39361,l.carlsonarlson@kobnawvet.com,American Express,3481xxxxxxx6729,07/27,female,KWMA,5,$3024.7999999999997,9,$6824.509999999998,14,$12903.689999999995
Mrs. Rebecca Bass,female,477-97-5270,28/5/2006,(434) 910-8992,GA,17173,r.Bass@werla.gov,Discover Card,6011xxxxxxxx9121,05/26,female,WWUI,5,$3690.7400000000002,8,$6846.580000000002,18,$19402.730000000007
Celia Marsh,female,610-41-3822,Sun Nov 25 2012 09:43:26 GMT-0500 (Eastern Standard Time),(262) 395-6292,Indiana,27309,c.marsharsh@la.info,Discover Card,6011xxxxxxxx8019,04/18,female,WYFC,2,$1731.7,3,$3552.97,13,$10436.090000000002
Myrtie Logan,female,123-16-5383,13/3/2017,(231) 518-2478,Colorado,15896,m.loganogan@uzuru.net,Visa,4851xxxxxxxx5333,11/21,female,KGRZ,5,$1899.68,8,$6110.74,12,$12626.08
Mr. Mario Watkins,male,716-52-6156,Thu May 23 2013 21:24:05 GMT-0400 (Eastern Daylight Time),(242) 288-9540,Nevada,57446-5806,m.watkinsatkins@alatotrom.com,American Express,3418xxxxxxx4258,12/22,male,KPFU,3,$1754.54,4,$2663.12,9,$7287.879999999999
Mason Jensen,male,897-54-7121,Wed Sep 21 2016 05:49:54 GMT-0400 (Eastern Daylight Time),7653526534,Kansas,56399,m.jensenensen@lo.gov,American Express,3486xxxxxxx5896,08/27,male,KBQE,0,$0,5,$2231.39,9,$6358.9800000000005
Lizzie Tate,female,839-59-8336,25/1/2014,7799335146,RI,07578,l.tateate@rekgazce.org,Visa,4601xxxxxxxx8022,03/17,female,WBQX,4,$3032.7999999999997,6,$6862.83,7,$10237.48
Dr. Raymond Johnson,male,094-07-9856,Fri Jul 10 2015 19:17:51 GMT-0400 (Eastern Daylight Time),6032576156,Connecticut,45336,r.johnsonohnson@wewile.org,American Express,3467xxxxxxx0548,03/20,male,WDWP,4,$1869.27,5,$3288.24,10,$9058.57
Mike Arnold,male,941-15-5266,Sun May 04 2014 04:56:15 GMT-0400 (Eastern Daylight Time),(846) 369-6637,Pennsylvania,22786,m.arnoldrnold@ukiba.edu,Visa,4632xxxxxxxx3831,04/17,male,WFYI,5,$2729.92,6,$5286.57,10,$10844.56
Olive Young,female,745-17-5528,16/1/2007,6796529166,A.Z.,93091,o.youngoung@akudif.net,American Express,3439xxxxxxx9247,05/27,female,KAFX,0,$0,5,$2678.17,10,$8184.240000000001
Misses Mathilda Reynolds,female,018-50-4048,12/3/2013,6246535418,M.I.,36257,m.reynoldseynolds@utiuf.com,Visa,4190xxxxxxxx9061,01/23,female,WICF,2,$515.21,4,$2626.6099999999997,12,$9609.589999999997
Miss Edith Schneider,female,979-25-1492,Sun Mar 23 2008 08:19:59 GMT-0400 (Eastern Daylight Time),(828) 459-4877,New Mexico,26564-8040,e.schneiderchneider@asekuwpe.au,Diners Club United States & Canada,5437xxxxxxxx2527,06/17,female,KXIB,5,$2439.99,8,$6122.929999999999,9,$10891.589999999997
Mister Jason Soto,male,812-62-2275,Thu Apr 21 2005 12:35:58 GMT-0400 (Eastern Daylight Time),(241) 423-2397,Oklahoma,62411-8041,j.Soto@eta.nz,American Express,3419xxxxxxx6760,01/21,male,KURV,1,$408.92,5,$2608.89,11,$8199.8
Mister Landon Horton,male,723-47-0470,5/24/2017,8373427751,Delaware,96432,l.hortonorton@danvezun.au,American Express,3459xxxxxxx8958,12/19,male,WSMC,5,$2549.03,8,$6169.130000000001,16,$15030.15
Stanley Lloyd,male,344-88-6119,Fri Jan 08 2016 13:32:46 GMT-0500 (Eastern Standard Time),4053144848,N.D.,48972,s.lloydloyd@wignifiw.de,Mastercard,5172xxxxxxxx1498,09/24,male,KVVY,3,$1296.46,5,$4078.49,11,$7325.369999999998
Dr. Lulu Rodriquez,female,309-98-5400,4/19/2008,5735595969,Alabama,10880,l.rodriquezodriquez@det.info,Mastercard,5122xxxxxxxx9811,01/20,female,WBVQ,3,$2071.72,5,$4783.939999999999,6,$8581.23
Allie Fowler,female,723-22-4970,Tue May 11 2010 06:14:47 GMT-0400 (Eastern Daylight Time),(958) 963-8284,N.V.,95729,a.fowlerowler@levhub.co,Mastercard,5130xxxxxxxx0402,03/26,female,KDGY,3,$2557.07,7,$6471.72,13,$12695.640000000001
Tom Hughes,male,147-64-1781,Thu Feb 26 2015 17:17:31 GMT-0500 (Eastern Standard Time),6535771153,Kentucky,31827,t.hughesughes@mutov.ca,American Express,3468xxxxxxx1177,04/24,male,WLQD,0,$0,2,$357.53999999999996,11,$6660.139999999999
Mrs. Nora Lee,female,888-93-8887,8/29/2005,(946) 839-6429,Iowa,52558,n.Lee@varmi.info,Discover Card,6011xxxxxxxx0124,10/22,female,KXKY,0,$0,5,$2561.44,8,$6117.400000000001
Howard Patton,male,071-12-9744,Tue Jul 15 2014 07:48:24 GMT-0400 (Eastern Daylight Time),3214425536,Rhode Island,56441-9097,h.pattonatton@hefiv.edu,Mastercard,5182xxxxxxxx7307,12/21,male,WQAX,4,$1750.8799999999999,7,$4726.53,8,$8077.13
Jack Newton,male,747-07-5335,26/10/2006,(855) 222-8595,T.X.,17509-8942,j.newtonewton@loil.edu,Diners Club United States & Canada,5468xxxxxxxx8105,12/26,male,KMWW,4,$1708.19,7,$5779.5199999999995,12,$11780.48
Dr. Jeffery Fox,male,867-26-8295,17/7/2010,(351) 287-2094,Wyoming,14606-2101,j.Fox@ut.com,Mastercard,5167xxxxxxxx6830,02/23,male,KVLI,2,$761.02,7,$3455.72,16,$12984.680000000002
Sophia Terry,female,020-36-9058,17/10/2016,6054283496,Colorado,73736-4518,s.terryerry@soctin.ca,Visa,4405xxxxxxxx4857,01/20,female,KIFA,3,$1471.77,7,$7180.870000000001,8,$11626.4
Leroy Kim,male,292-93-8797,Sun Jun 04 2006 22:35:22 GMT-0400 (Eastern Daylight Time),7664561390,Maryland,84694-4015,l.Kim@cezsomsew.org,American Express,3416xxxxxxx0122,01/17,male,WIGF,2,$1066.6000000000001,4,$2434.28,13,$9649.080000000002
Mrs. Katie Payne,female,410-15-6401,22/7/2015,4264594698,Tennessee,22517,k.payneayne@pe.com,Diners Club United States & Canada,5405xxxxxxxx4948,06/21,female,WKTU,5,$1301.66,8,$4806.76,18,$14098.109999999997
Miss Fannie Bell,female,634-47-4503,Fri Dec 23 2016 13:12:45 GMT-0500 (Eastern Standard Time),(328) 883-7662,DC,50851-0896,f.bellell@teh.net,Discover Card,6011xxxxxxxx6189,07/25,female,KKGH,1,$408.63,6,$2536.96,14,$8946.24
Miss Virgie Flores,female,340-01-8858,Sun Jul 27 2008 21:25:11 GMT-0400 (Eastern Daylight Time),9753581972,Kentucky,47993-3750,v.floreslores@iciur.nz,Discover Card,6011xxxxxxxx8705,02/20,female,WLMH,1,$119.45,4,$1994.5299999999997,11,$8043.42
Misses Iva Adams,female,988-69-9300,Thu Jan 04 2007 06:54:12 GMT-0500 (Eastern Standard Time),5184198093,OK,58971-6717,i.Adams@tucmuh.org,American Express,3459xxxxxxx6528,10/20,female,KKPT,0,$0,1,$787.68,3,$2251.3199999999997
Doctor Bobby Gardner,male,706-53-0970,Fri Sep 23 2005 09:14:47 GMT-0400 (Eastern Daylight Time),9664811733,Colorado,26713-5671,b.gardnerardner@inikref.ca,Mastercard,5165xxxxxxxx2143,10/22,male,KUZC,0,$0,1,$742.81,4,$3271.53
Howard Pittman,male,732-06-3503,Sat Mar 07 2009 08:10:50 GMT-0500 (Eastern Standard Time),6744128755,W.V.,82723,h.pittmanittman@noso.info,Discover Card,6011xxxxxxxx6310,04/19,male,WEXS,5,$2858.87,7,$6041.0199999999995,17,$14006.900000000001
Misses Sue Bowers,female,706-86-5924,11/9/2015,(258) 366-8617,VA,90234,s.Bowers@ihe.edu,American Express,3403xxxxxxx8718,02/24,female,WZFV,2,$677.47,4,$3286.5099999999998,10,$8339.72
Mike Fields,male,093-41-6331,Tue Oct 07 2008 11:35:28 GMT-0400 (Eastern Daylight Time),(565) 849-1483,ID,44771-0719,m.Fields@ke.gov,Visa,4608xxxxxxxx7383,05/18,male,KFPT,2,$847.5699999999999,3,$2066.64,8,$5684.39
Seth Woods,male,566-86-9758,22/1/2014,(575) 726-5663,Connecticut,91355-7971,s.Woods@luvtunmir.edu,Discover Card,6011xxxxxxxx7238,09/22,male,WMTT,3,$986.17,4,$3884.7700000000004,14,$9574.289999999999
Mister Ethan Clark,male,704-28-8887,30/3/2015,8329601000,LA,17870,e.Clark@jakojmef.com,Mastercard,5119xxxxxxxx5929,12/26,male,WBVK,0,$0,1,$600.66,5,$4281.3
Mrs. Rachel Rodriguez,female,628-07-8347,22/7/2014,(835) 926-9892,Iowa,19786-6269,r.rodriguezodriguez@sulumih.info,Diners Club United States & Canada,5498xxxxxxxx4628,01/20,female,KEAC,1,$790.99,4,$3346.24,14,$10962.449999999999
Mister Carlos Norman,male,495-95-2528,4/1/2009,(923) 320-5900,VA,23471-1429,c.normanorman@nijakto.edu,Diners Club United States & Canada,5408xxxxxxxx3375,08/27,male,WORW,2,$1160.75,5,$2814.24,8,$7582.74
Mr. Jack Jennings,male,572-35-0159,Mon Aug 27 2007 21:56:54 GMT-0400 (Eastern Daylight Time),3256661601,GA,04178,j.jenningsennings@ebsec.gov,Visa,4661xxxxxxxx7980,08/17,male,WETK,4,$3311.5199999999995,9,$9073.3,10,$14811.91
Doctor Aaron Floyd,male,160-75-2757,9/11/2015,7482866334,Oregon,22409-6913,a.floydloyd@weh.net,Discover Card,6011xxxxxxxx7572,12/22,male,KINZ,0,$0,4,$1478.08,13,$6252.69
Dr. Teresa Ramsey,female,691-99-9659,Fri Jan 04 2013 23:52:00 GMT-0500 (Eastern Standard Time),(885) 635-3434,District of Columbia,79944-0629,t.ramseyamsey@dufiuve.gov,Visa,4221xxxxxxxx7028,12/21,female,KRBQ,2,$911.13,7,$5108.12,15,$12130.900000000001
Ida Thomas,female,706-09-9089,23/4/2007,2207366905,DC,89327,i.thomashomas@gelab.ca,Visa,4410xxxxxxxx8472,01/18,female,KZML,0,$0,2,$329.16,4,$3982.55
Mr. Cory Rowe,male,006-29-2418,Fri Aug 31 2012 10:43:25 GMT-0400 (Eastern Daylight Time),(803) 312-4745,MN,81371-7715,c.roweowe@vihute.nz,Diners Club United States & Canada,5474xxxxxxxx7746,01/20,male,KEHQ,3,$1442.51,8,$5579.379999999999,18,$14754.939999999999
Andrew Aguilar,male,789-62-8549,26/6/2010,6789091061,Florida,85463-3517,a.aguilarguilar@lu.nz,Visa,4481xxxxxxxx9050,02/20,male,WIJW,1,$836.86,2,$2612.48,9,$8951.609999999999
Doctor Craig Abbott,male,882-07-0146,11/12/2007,(330) 966-6220,I.D.,64240-1253,c.Abbott@fuoz.com,Visa,4900xxxxxxxx8318,10/27,male,KLBX,0,$0,1,$441.4,3,$2680.61
Darrell Howard,male,486-55-4568,9/17/2009,(436) 334-9775,Iowa,88976,d.howardoward@iru.net,Discover Card,6011xxxxxxxx4983,04/26,male,KEZA,2,$1169.39,6,$4555.9,15,$14005.38
Luella Pena,female,609-03-7406,10/7/2004,(441) 786-4697,Rhode Island,81231,l.penaena@so.net,Mastercard,5141xxxxxxxx8571,05/22,female,WYBQ,5,$2061.08,8,$5713.75,13,$12796.949999999997
Lilly Sandoval,female,155-07-6689,1/10/2005,(520) 407-1104,S.C.,22016-1108,l.sandovalandoval@dul.net,Discover Card,6011xxxxxxxx4648,09/19,female,WEXL,1,$993.1,3,$2213.33,13,$7487.409999999999
Ray Klein,male,420-71-9716,Thu Aug 24 2017 23:31:53 GMT-0400 (Eastern Daylight Time),(975) 399-4897,K.Y.,43343-3504,r.kleinlein@efvitu.ca,Discover Card,6011xxxxxxxx9206,09/18,male,WHFQ,1,$827.15,6,$4135.27,11,$7892.420000000001
Misses Emilie Johnson,female,641-65-9911,1/18/2008,9522449480,AL,10649,e.johnsonohnson@kiaj.org,Mastercard,5141xxxxxxxx8557,11/24,female,WIYR,3,$1057.94,6,$4690.72,14,$12390.54
Charlie Erickson,male,605-83-0486,Fri May 02 2014 10:35:35 GMT-0400 (Eastern Daylight Time),(343) 534-3682,Wisconsin,00051-2825,c.ericksonrickson@ufpe.co,Mastercard,5192xxxxxxxx5608,08/23,male,WUAN,1,$376.61,6,$3714.29,11,$8979.6
Josie Perez,female,090-85-4843,Tue Feb 07 2006 00:12:00 GMT-0500 (Eastern Standard Time),(569) 684-2328,Iowa,84027,j.perezerez@cukucjih.de,Visa,4492xxxxxxxx3498,10/23,female,KDQM,5,$1845.64,6,$5365.59,16,$13632.08
Clarence Simmons,male,652-96-5453,Mon Dec 12 2005 08:46:36 GMT-0500 (Eastern Standard Time),5584408158,Maine,43156,c.simmonsimmons@ico.gov,Discover Card,6011xxxxxxxx6535,12/26,male,WMLG,4,$960.36,6,$3706.44,8,$6641.410000000001
Clifford Rice,male,525-52-5098,Fri Dec 28 2007 05:16:33 GMT-0500 (Eastern Standard Time),(649) 803-2250,Mississippi,86655-7693,c.Rice@aneno.gov,Discover Card,6011xxxxxxxx8169,12/25,male,WEVE,1,$463.63,3,$2266.3799999999997,7,$5939.61
Dr. Russell Page,male,350-54-9591,Sun Nov 26 2006 20:28:27 GMT-0500 (Eastern Standard Time),(818) 289-3077,Mississippi,71047,r.Page@seiti.org,Diners Club United States & Canada,5445xxxxxxxx8172,03/22,male,WJDK,3,$1225.97,5,$5053.49,7,$8353.230000000001
Theresa Erickson,female,780-20-4987,Mon Oct 04 2004 21:41:42 GMT-0400 (Eastern Daylight Time),(453) 309-2873,Kentucky,77205,t.ericksonrickson@robocoj.net,Diners Club United States & Canada,5417xxxxxxxx9055,06/19,female,WDGB,0,$0,5,$2629.22,6,$5634.349999999999
Doctor Elsie Sanders,female,552-55-5792,Fri Nov 20 2009 10:34:06 GMT-0500 (Eastern Standard Time),(982) 318-9139,AR,13229-7532,e.sandersanders@sa.gov,Diners Club United States & Canada,5432xxxxxxxx4861,01/27,female,KNWG,2,$1361.49,7,$3928.2,12,$9247.04
Glen Nunez,male,770-57-3627,Wed Nov 25 2015 14:39:26 GMT-0500 (Eastern Standard Time),4375671550,Hawaii,71791-1972,g.Nunez@kuz.edu,Visa,4056xxxxxxxx5318,07/21,male,KZWP,1,$880.35,5,$3392.0099999999998,9,$7396.26
Christopher Woods,male,432-27-5666,Sun Jul 10 2011 09:18:09 GMT-0400 (Eastern Daylight Time),(601) 939-7495,Massachusetts,19897-9782,c.Woods@natelaze.com,American Express,3402xxxxxxx3312,03/20,male,WXHL,1,$558.32,5,$3309.2799999999997,9,$7602.35
Pearl Tucker,female,818-93-0581,Sat Jan 23 2016 21:29:12 GMT-0500 (Eastern Standard Time),6075515512,I.N.,74331,p.tuckerucker@je.com,Diners Club United States & Canada,5483xxxxxxxx2034,04/25,female,WAVY,3,$2256.3900000000003,7,$4341.78,10,$8705.52
Dr. Philip Marshall,male,060-14-7579,Fri Feb 12 2010 09:23:48 GMT-0500 (Eastern Standard Time),(747) 720-3997,WV,22059-4464,p.Marshall@sipwohiz.net,Discover Card,6011xxxxxxxx9848,04/23,male,WMDS,0,$0,1,$409.22,11,$6712.4
Sara Harper,female,133-79-9846,Wed May 01 2013 07:58:12 GMT-0400 (Eastern Daylight Time),(534) 583-3016,Maryland,67368,s.harperarper@no.ca,Discover Card,6011xxxxxxxx6282,01/24,female,WRYH,3,$1911.41,4,$3054.1400000000003,11,$9923.740000000002
Doctor Bertha Holland,female,459-62-0818,2/27/2006,7514899361,Iowa,95961,b.hollandolland@afawe.gov,American Express,3484xxxxxxx7565,06/22,female,KPKC,2,$1549.56,3,$3007.0400000000004,7,$6827.100000000002
Mr. Walter Gonzalez,male,775-04-2888,9/26/2016,(589) 315-7006,CT,52145-3744,w.gonzalezonzalez@biviaji.edu,Discover Card,6011xxxxxxxx8906,08/19,male,WXRN,5,$2201,6,$5591.1900000000005,16,$12268.939999999999
Nora Gordon,female,571-36-5261,12/10/2009,7072186903,A.K.,84849-8721,n.gordonordon@uhiwe.com,Diners Club United States & Canada,5483xxxxxxxx1115,09/24,female,WWHL,2,$1430.38,3,$2460.7400000000002,13,$9579.68
Eugene Murray,male,546-83-3219,2/3/2011,(442) 374-9877,KY,22440,e.murrayurray@ga.gov,Discover Card,6011xxxxxxxx5371,08/23,male,WAHV,2,$300.82,5,$2838.52,12,$7432.53
Dr. Jay Rios,male,741-38-5180,12/8/2007,3177253525,HI,61781-6320,j.riosios@raer.edu,Discover Card,6011xxxxxxxx5308,09/24,male,KLMY,1,$990.62,5,$4152.62,6,$8018.240000000001
Elmer Curtis,male,924-89-4310,11/28/2008,7235772938,NH,01819,e.curtisurtis@citoce.com,Diners Club United States & Canada,5423xxxxxxxx6994,04/24,male,WYQT,4,$1423.16,9,$6410.700000000001,12,$13210.330000000002
